question	Option_A 	Option_B	Option_C 	Option_D	Correct_Answer	Explanation
During a phishing attack, adversaries use a specially crafted document to exploit a vulnerability and execute malicious code. Which MITRE ATT&CK technique does this represent?	a) T1203: Exploitation for Client Execution	b) T1068: Exploitation of Elevation Vulnerability	c) T1071: Application Layer Protocol	d) T1027: Obfuscated Files or Information	A	Technique T1203 (Exploitation for Client Execution) involves exploiting vulnerabilities in documents to execute malicious code.
Which MITRE ATT&CK technique can be used to evade detection by using encryption to obfuscate the content of payloads or commands?	a) T1064: Scripting	b) T1047: Windows Management Instrumentation	c) T1027: Obfuscated Files or Information	d) T1055: Process Injection	C	Technique T1027 (Obfuscated Files or Information) involves using encryption or obfuscation to evade detection.
In a scenario where an attacker installs a rootkit to maintain access and hide their presence on a compromised system, which MITRE ATT&CK technique are they utilizing?	a) T1135: Network Share Discovery	b) T1069: Permission Groups Discovery	c) T1014: Rootkit Installation	d) T1053: Scheduled Task/Job	C	Technique T1014 (Rootkit Installation) is used to hide the presence of an attacker by installing a rootkit on the compromised system.
An adversary uses a credential dumping tool to extract user credentials from memory. Which MITRE ATT&CK technique is used in this scenario?	a) T1003: Credential Dumping	b) T1059: Command and Scripting Interpreter	c) T1040: Network Sniffing	d) T1070: Indicator Removal on Host	A	Technique T1003 (Credential Dumping) involves extracting credentials from system memory.
In a situation where an attacker leverages a compromised domain controller to issue unauthorized administrative commands, which MITRE ATT&CK technique are they using?	a) T1077: Windows Admin Shares	b) T1106: Native API	c) T1135: Network Share Discovery	d) T1075: Pass-the-Hash	B	Technique T1106 (Native API) can be used to issue unauthorized administrative commands via a compromised domain controller.
An attacker manipulates a software update mechanism to deploy malware. What MITRE ATT&CK technique is this exploiting?	a) T1189: Drive-by Compromise	b) T1203: Exploitation for Client Execution	c) T1193: Spear Phishing Link	d) T1071: Application Layer Protocol	B	Technique T1203 (Exploitation for Client Execution) involves exploiting vulnerabilities in software update mechanisms to deploy malware.
Which MITRE ATT&CK technique is used when an attacker creates a malicious executable that masquerades as a legitimate application to avoid detection?	a) T1071: Application Layer Protocol	b) T1048: Windows Management Instrumentation	c) T1203: Exploitation for Client Execution	d) T1036: Masquerading	D	Technique T1036 (Masquerading) involves creating malicious executables that appear as legitimate applications to avoid detection.
An attacker exfiltrates sensitive data by encrypting it and then sending it out via cloud storage services. Which MITRE ATT&CK technique is being used?	a) T1071: Application Layer Protocol	b) T1048: Windows Management Instrumentation	c) T1041: Exfiltration Over Command and Control Channel	d) T1075: Pass-the-Hash	C	Technique T1041 (Exfiltration Over Command and Control Channel) is used to exfiltrate data by encrypting and sending it via cloud storage or similar services.
In a scenario where an attacker uses PowerShell to execute commands remotely on a compromised machine, which MITRE ATT&CK technique is being employed?	a) T1059: Command and Scripting Interpreter	b) T1071: Application Layer Protocol	c) T1086: PowerShell	d) T1083: File and Directory Discovery	C	Technique T1086 (PowerShell) is used to execute commands remotely on a compromised machine.
An adversary deploys a malicious payload that modifies system configurations to maintain persistence. Which MITRE ATT&CK technique does this align with?	a) T1070: Indicator Removal on Host	b) T1564: Hide Artifacts	c) T1105: Remote File Copy	d) T1543: Create or Modify System Process	D	Technique T1543 (Create or Modify System Process) is used to maintain persistence by modifying system configurations.
A threat actor is utilizing a compromised email account to send out spear-phishing emails with malicious attachments. Which MITRE ATT&CK technique is being employed?	a) T1203: Exploitation for Client Execution	b) T1071: Application Layer Protocol	c) T1192: Spear Phishing Link	d) T1589: Gather Victim Information	C	Technique T1192 (Spear Phishing Link) involves using compromised email accounts to send spear-phishing emails with malicious attachments.
In a situation where an attacker uses legitimate credentials to perform unauthorized actions on a network, which MITRE ATT&CK technique is being used?	a) T1075: Pass-the-Hash	b) T1071: Application Layer Protocol	c) T1086: PowerShell	d) T1087: Account Discovery	A	Technique T1075 (Pass-the-Hash) involves using stolen credentials to perform unauthorized actions within a network.
An adversary uses a technique that involves implanting a backdoor into a firmware update to ensure persistence across reboots. Which MITRE ATT&CK technique is employed?	a) T1047: Windows Management Instrumentation	b) T1203: Exploitation for Client Execution	c) T1547: Boot or Logon Autostart Execution	d) T1135: Network Share Discovery	C	Technique T1547 (Boot or Logon Autostart Execution) is used to maintain persistence by implanting backdoors into firmware updates.
Which MITRE ATT&CK technique involves using encrypted network traffic to avoid detection during data exfiltration?	a) T1048: Exfiltration Over Alternative Protocol	b) T1071: Application Layer Protocol	c) T1041: Exfiltration Over Command and Control Channel	d) T1046: Network Service Scanning	B	Technique T1071 (Application Layer Protocol) involves using encrypted network traffic to avoid detection during data exfiltration.
Which malware uses a custom command and control protocol that communicates over commonly used ports and is frequently encapsulated by application layer protocols?	A. Mimikatz	B. Duqu	C. Adwind	D. Zeus Gameover	B	Duqu uses a custom command and control protocol that communicates over commonly used ports and is frequently encapsulated by application layer protocols.
Which malware uses IRC for command and control (C2) communications?	A. Adwind	B. Duqu	C. Magic Hound	D. Zeus Gameover	C	Magic Hound malware has used IRC for C2 communications.
Which malware uses an inverse negotiated SSH connection as part of its command and control (C2)?	A. Adwind	B. Duqu	C. Mimikatz	D. QUIETEXIT	D	QUIETEXIT can use an inverse negotiated SSH connection as part of its C2.
Which malware uses the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server?	A. Adwind	B. Duqu	C. Hildegard	D. Lucifer	D	Lucifer uses the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is most likely being used?	A. ICMP	B. DNS	C. SMB	D. HTTP	D	Adversaries often use HTTP for blending in with existing traffic to avoid detection and network filtering.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is least likely being used for this purpose?	A. ICMP	B. FTP	C. SSH	D. HTTPS	D	HTTPS is less likely to be used for blending in with existing traffic due to its encryption, making it less susceptible to network filtering.
An adversary is using a protocol to communicate with a controller over TCP/7519. Which malware is this a characteristic of?	A. Adwind	B. Duqu	C. Hildegard	D. Rocke	D	Rocke uses TCP/7519 for communication with its controller.
An adversary is using an IRC server for command and control (C2) communications. Which malware is this a characteristic of?	A. Adwind	B. Duqu	C. Magic Hound	D. Siloscape	C	Magic Hound malware uses IRC for C2 communications.
An adversary is using an IRC bot for command and control (C2) communications. Which malware is this a characteristic of?	A. Adwind	B. Duqu	C. Magic Hound	D. TeamTNT	D	TeamTNT has used an IRC bot for C2 communications.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is least likely to be used for this purpose?	A. SMTP	B. SMB	C. SSH	D. HTTP	B	SMB is less likely to be used for blending in with existing traffic as it is primarily used for file sharing rather than communication.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is most likely to be used for this purpose?	A. ICMP	B. DNS	C. SSH	D. HTTP	D	HTTP is commonly used by adversaries for blending in with existing traffic to avoid detection and filtering.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is least likely to be used for this purpose?	A. FTP	B. SMB	C. SMTP	D. HTTPS	D	HTTPS is less likely to be used for blending in with existing traffic due to its encryption, which makes it less vulnerable to network filtering.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is most likely to be used for this purpose?	A. IRC	B. SMB	C. SMTP	D. HTTP	D	HTTP is often used for blending in with existing traffic to avoid detection and filtering.
An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is least likely to be used for this purpose?	A. SCP	B. SSH	C. FTP	D. TFTP	D	TFTP is less likely used for blending in with existing traffic as it is mainly used for file transfers rather than communication.
Which of the following applications can initiate phone calls?	A) AndroRAT	B) Fakecalls	C) Monokle	D) TangleBot	A	AndroRAT can make phone calls.
Which technique is used by Fakecalls to intercept and imitate phone conversations?	A) T1616.A	B) T1616.B	C) T1616.C	D) T1616.D	A	Fakecalls can intercept and imitate phone conversations, which is technique F under T1616.
Which technique can be used by BusyGasper to open a hidden menu when a specific phone number is called?	A) T1616.A	B) T1616.B	C) T1616.E	D) T1616.F	A	BusyGasper can open a hidden menu when a specific phone number is called. Technique E under T1616 involves manipulating call behavior.
Which technique can be used by Drinik to silently block incoming calls?	A) T1616.A	B) T1616.B	C) T1616.D	D) T1616.H	A	Drinik can use the Android CallScreeningService to silently block incoming calls. This is technique H under T1616.
What can Escobar be used to do?	A) Make phone calls	B) Launch the dialer	C) Block incoming calls	D) Initiate phone calls	D	Escobar can initiate phone calls.
What is the technique used by TangleBot to make and block phone calls?	A) T1616.A	B) T1616.B	C) T1616.C	D) T1616.D	A	TangleBot can make and block phone calls. Technique D under T1616 involves programmatically controlling phone calls.
What can users do to review available call logs for irregularities?	A) Change the default call handler	B) Grant phone call-based permissions to unknown applications	C) Review available call logs	D) Enable Input Injection	A	Users can review available call logs for irregularities. Changing the default call handler, granting phone call-based permissions to unknown applications, and enabling Input Injection are not appropriate responses.
Which technique can be used by CarbonSteal to silently accept an incoming phone call?	A) T1616.A	B) T1616.B	C) T1616.D	D) T1616.F	A	CarbonSteal can silently accept an incoming phone call. Technique D under T1616 involves programmatically controlling phone calls.
What can users do to view their default phone app in device settings?	A) Change the default call handler	B) Grant phone call-based permissions to unknown applications	C) Review available call logs	D) View their default phone app in device settings	D	Users can view their default phone app in device settings. Changing the default call handler, granting phone call-based permissions to unknown applications, and reviewing available call logs are not appropriate responses.
How can users confirm whether their default call handler has been changed to applications they do not recognize?	A) Review available call logs	B) Change the default call handler	C) Grant phone call-based permissions to unknown applications	D) View their default phone app in device settings	D	Users can view their default phone app in device settings to confirm whether it has been changed to applications they do not recognize. Reviewing available call logs, changing the default call handler, and granting phone call-based permissions to unknown applications are not appropriate responses.
Which technique can be used by BRATA to hide incoming calls by setting ring volume to 0 and showing a blank screen overlay?	A) T1616.A	B) T1616.B	C) T1616.E	D) T1616.H	A	BRATA can hide incoming calls by setting ring volume to 0 and showing a blank screen overlay. Technique E under T1616 involves manipulating call behavior.
"Which technique can be used by Monokle to be controlled via phone call from a set of ""control phones""?"	A) T1616.A	B) T1616.B	C) T1616.D	D) T1616.H	A	"Monokle can be controlled via phone call from a set of ""control phones."" This is technique H under T1616."
An application needs to launch the dialer with a phone number filled in but does not require any specific permissions. Which Intent should the application use?	A) Intent.ACTION_DIAL	B) Intent.ACTION_CALL	C) Intent.ACTION_CALL_WITH_DATA	D) Intent.ACTION_DIAL_WITH_NUMBER	A	To launch the dialer with a phone number filled in but without requiring specific permissions, an application should use Intent.ACTION_DIAL.
Users should be careful about granting phone call-based permissions to unknown applications to prevent which of the following threats?	A) Data exfiltration	B) Malware distribution	C) Call manipulation	D) Input Injection	C	Granting phone call-based permissions to unknown applications can lead to call manipulation. Data exfiltration, malware distribution, and Input Injection are not directly related to phone call permissions.
An attacker is using a phishing email to deliver a macro-based payload. Which MITRE ATT&CK technique does this describe?	A) T1059.001 - PowerShell	 B) T1203 - Exploit Public-Facing Application	C) T1204.001 - User Execution: Malicious File	 D) T1566.001 - Phishing: Spear Phishing Attachment	D	T1566.001 describes phishing attempts that use malicious attachments, such as macro-based payloads.
An adversary is using a legitimate remote desktop connection to move laterally within a network. Which technique are they most likely using?	A) T1021.001 - Remote Desktop Protocol (RDP)	B) T1135 - Network Share Discovery	C) T1076 - Remote Desktop Protocol	D) T1071.001 - Application Layer Protocol: Application Layer Protocol for Remote Access	C	T1076 involves using RDP to remotely access and move within the network.
A security team discovers that an attacker has been using encrypted DNS queries to exfiltrate data. Which MITRE ATT&CK technique is being utilized?	A) T1041 - Exfiltration Over Command and Control Channel	B) T1048 - Exfiltration Over Alternative Protocol	C) T1040 - Network Sniffing	D) T1571 - Application Layer Protocol: Encrypted DNS Queries	D	T1571 details the use of encrypted protocols like DNS over HTTPS for data exfiltration.
Which technique can an attacker use to escalate privileges by exploiting a known vulnerability in an application?	A) T1068 - Exploitation for Privilege Escalation	B) T1075 - Pass the Hash	C) T1078 - Valid Accounts	D) T1134 - Access Token Manipulation	A	T1068 describes exploiting vulnerabilities in software to gain higher privileges.
An adversary is using a custom protocol over TCP port 6667 for command and control. Which MITRE ATT&CK technique is associated with this behavior?	A) T1040 - Network Sniffing	B) T1071.001 - Application Layer Protocol: IRC	C) T1203 - Exploit Public-Facing Application	D) T1027 - Obfuscated Files or Information	B	T1071.001 includes using IRC for C2 communications, often over non-standard ports.
A red team is observing that an attacker is performing memory scraping to capture credentials from a system process. Which technique is being used?	A) T1003.001 - Credential Dumping: LSASS Memory	 B) T1070.001 - Indicator Removal on Host: Clear Logs	 C) T1071 - Application Layer Protocol	D) T1033 - System Network Connections Discovery	A	T1003.001 involves scraping memory to extract credentials, typically from LSASS.
A malware sample is found using an existing web server to communicate with its command and control server. Which MITRE ATT&CK technique applies?	A) T1132 - Data Encoding	 B) T1071.001 - Application Layer Protocol: Web Traffic	 C) T1071.002 - Application Layer Protocol: HTTPS	 D) T1071.003 - Application Layer Protocol: Web Shell	B	T1071.001 describes the use of web traffic for C2 communications.
An adversary is using a compromised administrative account to exfiltrate large volumes of sensitive data. Which technique does this represent?	A) T1071.001 - Application Layer Protocol: Web Traffic	B) T1041 - Exfiltration Over Command and Control Channel	C) T1020 - Automated Exfiltration	D) T1070 - Indicator Removal on Host	C	T1020 involves automated methods to exfiltrate data, often using legitimate accounts to avoid detection.
Which technique involves manipulating web server logs to hide malicious activity?	A) T1070.001 - Indicator Removal on Host: Clear Logs	B) T1070.002 - Indicator Removal on Host: File and Directory Discovery	C) T1070.003 - Indicator Removal on Host: Clean Up Logs	D) T1070.004 - Indicator Removal on Host: Obfuscate Logs	A	T1070.001 details methods for clearing or modifying logs to remove evidence of attacks.
An attacker is using a legitimate network file share to store and access malware payloads. Which MITRE ATT&CK technique does this scenario depict?	A) T1035 - Service Execution	B) T1071 - Application Layer Protocol	C) T1095 - Non-Application Layer Protocol	D) T1074 - Data Staged	D	T1074 involves staging data or malware on legitimate network resources to avoid detection.
An attacker has gained access to an organization's cloud infrastructure and is performing actions using legitimate cloud administration tools. Which technique is being used?	A) T1134 - Access Token Manipulation	B) T1210 - Exploitation of Remote Services	C) T1091 - Cloud Service Discovery	D) T1218 - Application Layer Protocol: Cloud Administration Tools	D	T1218 involves using cloud administration tools for malicious activities in cloud environments.
A security analyst finds that an attacker is using a browser extension to capture user credentials. Which MITRE ATT&CK technique is relevant?	A) T1192 - Spear Phishing Link	B) T1056 - Input Capture	C) T1055 - Process Injection	D) T1136 - Create Account	B	T1056 involves methods to capture user input, including through browser extensions.
An organization is experiencing unusual network traffic patterns that suggest a potential covert channel. Which MITRE ATT&CK technique might this represent?	A) T1071 - Application Layer Protocol	B) T1041 - Exfiltration Over Command and Control Channel	C) T1132 - Data Encoding	D) T1040 - Network Sniffing	B	T1041 describes the use of covert channels for data exfiltration, which can involve unusual network traffic patterns.
An attacker is using a remote access tool (RAT) to gain unauthorized control over a target system. Which MITRE ATT&CK technique is associated with this behavior?	A) T1219 - Remote Access Tools	B) T1069 - Permission Groups Discovery	C) T1083 - File and Directory Discovery	D) T1071 - Application Layer Protocol	A	T1219 covers the use of remote access tools for unauthorized control and persistence.
An adversary leverages a known vulnerability to gain root access on a Linux system. Which MITRE ATT&CK technique describes this method?	A) T1068 - Exploitation for Privilege Escalation	B) T1203 - Exploit Public-Facing Application	C) T1069 - Permission Groups Discovery	D) T1134 - Access Token Manipulation	A	T1068 details the exploitation of vulnerabilities to achieve privilege escalation on systems.
An attacker uses a custom encryption algorithm to obfuscate C2 traffic. Which MITRE ATT&CK technique is used in this scenario?	A) T1027 - Obfuscated Files or Information	B) T1041 - Exfiltration Over Command and Control Channel	C) T1071 - Application Layer Protocol	D) T1132 - Data Encoding	A	T1027 involves using custom or unusual encryption methods to obfuscate C2 traffic and avoid detection.
Which of the following is an example of a technique for establishing persistence on Android devices through initialization scripts?	A) AhRat	B) BOULDSPY	C) OldBoot	D) Samsung Knox	C	OldBoot uses escalated privileges to modify the init script on the device's boot partition to maintain persistence.
Which of the following is a mechanism for verifying the integrity of the Android system partition?	A) Verified Boot	B) BOULDSPY	C) Samsung Knox	D) Android's SafetyNet API	A	Verified Boot can detect unauthorized modifications to the system partition.
Which of the following is a remote attestation capability provided by Android?	A) Verified Boot	B) Android's SafetyNet API	C) BOULDSPY	D) Samsung Knox	B	Android's SafetyNet API provides remote attestation capabilities.
Which of the following is a technique for exfiltrating data on Android devices when the user boots the app?	A) AhRat	B) OldBoot	C) BOULDSPY	D) Samsung Knox	C	BOULDSPY can exfiltrate data when the user boots the app or on device boot.
Which of the following techniques is used by AhRat to establish persistence on Android devices?	A) AhRat registers with the BOOT_COMPLETED broadcast to start when the device turns on	B) OldBoot uses escalated privileges to modify the init script on the device's boot partition to maintain persistence	C) AhRat modifies the bootloader to maintain persistence	D) AhRat uses a rootkit to establish persistence on Android devices	A	
Which of the following is a technique for detecting unauthorized modifications to protected operating system files on Android devices?	A) Device attestation	B) Locked bootloader	C) Security updates	D) Android's SafetyNet API	D	Android's SafetyNet API provides remote attestation capabilities that could potentially be used to identify and respond to compromised devices.
Which of the following is a technique for detecting unauthorized modifications to protected operating system files on iOS devices?	A) Device attestation	B) Locked bootloader	C) Security updates	D) iOS's Find My iPhone	A	Device attestation can detect unauthorized modifications to protected operating system files on iOS devices.
Which of the following is a technique for modifying the init script on the device's boot partition to maintain persistence on an Android device?	A) AhRat	B) OldBoot	C) Samsung Knox	D) Device attestation	B	OldBoot uses escalated privileges to modify the init script on the device's boot partition to maintain persistence.
Which of the following is a technique for establishing persistence on an Android device through a rootkit?	A) AhRat	B) OldBoot	C) Samsung Knox	D) RootKitRAT	D	RootKitRAT is a technique for establishing persistence on an Android device through a rootkit.
Which of the following is a technique for exfiltrating data on Android devices using a rootkit?	A) AhRat	B) OldBoot	C) BOULDSPY	D) RootKitRAT	D	RootKitRAT is a technique for establishing persistence on an Android device through a rootkit, which could include data exfiltration capabilities.
Which of the following is a technique for detecting rooted or jailbroken devices?	A) Device attestation	B) Locked bootloader	C) Security updates	D) Android's SafetyNet API	D	Android's SafetyNet API provides remote attestation capabilities that could potentially be used to detect rooted or jailbroken devices.
Which of the following is a technique for detecting devices with unauthorized or unsafe modifications?	A) Device attestation	B) Locked bootloader	C) Security updates	D) Android's SafetyNet API	A	Device attestation can detect devices with unauthorized or unsafe modifications.
Which of the following techniques is used by AhRat to gain persistence by executing scripts at boot time?	A) Using BOOT_COMPLETED broadcast	B) Modifying the bootloader	C) Using a rootkit	D) Leveraging application updates	A	AhRat uses the BOOT_COMPLETED broadcast to gain persistence by executing scripts when the device starts.
Which of the following techniques is used to detect unauthorized modifications to the boot partition on Android?	A) Device attestation	B) Bootloader integrity checks	C) SafetyNet API	D) System partition integrity checks	B	Integrity checks on the bootloader can detect unauthorized modifications to the boot partition.
Which of the following capabilities is provided by Samsung Knox for device security?	A) Remote attestation	B) System partition integrity checks	C) Encrypted DNS queries	D) Application whitelisting	A	Samsung Knox provides remote attestation capabilities for supported Samsung devices.
What is the name of an Android API that grants access to the device microphone?	A) RECORD_AUDIO	B) CAPTURE_AUDIO_OUTPUT	C) MICROPHONE_PERMISSION	D) ACCESS_MICROPHONE	A	The RECORD_AUDIO permission is required for an application to access the device's microphone on Android.
Which iOS requirement is necessary for an application to access the device microphone?	A) Including the NSMicrophoneUsageDescription key in the Info.plist file	B) Holding the RECORD_AUDIO permission	C) Requesting Record Permission	D) Accessing the microphone through the OS API	A	Applications must include the NSMicrophoneUsageDescription key in their Info.plist file to access the microphone on iOS.
Which Android permission allows an application to access audio output?	A) RECORD_AUDIO	B) CAPTURE_AUDIO_OUTPUT	C) ACCESS_AUDIO_OUTPUT	D) MICROPHONE_PERMISSION	B	The CAPTURE_AUDIO_OUTPUT permission allows an application to access audio output on Android.
What is the MITRE ATT&CK ID for the technique where an adversary records audio using a device's microphone?	A) T1086	B) T1429	C) T1564	D) T1574	B	MITRE ATT&CK ID T1429 pertains to the technique of recording audio using a device's microphone.
Which RAT (Remote Access Trojan) can record audio from the compromised device's microphone in 3GP format?	A) Desert Scorpion	B) Exodus Two	C) Fakecalls	D) ViperRAT	B	Exodus Two can record audio from the compromised device's microphone and save it in 3GP format.
Which RAT can record audio via the microphone when an infected device is in a specified location?	A) Skygofree	B) SpyDealer	C) Stealth Mango	D) Sunbird	A	Skygofree can record audio via the microphone when the infected device is in a specified location.
Which Malware can record phone calls and audio on an Android device?	A) Escobar	B) eSurv	C) Pallas	D) XLoader for Android	D	XLoader for Android can record both phone calls and audio on Android devices.
During which Operation were Windshift's malicious apps deployed with phone call and audio recording capabilities?	A) Operation BULL	B) Operation ROCK	C) Operation MICROPHONE	D) Operation WIFI	A	Windshift's malicious apps with phone call and audio recording capabilities were deployed during Operation BULL.
Which Android API does not allow third-party applications to hold the CAPTURE_AUDIO_OUTPUT permission by default?	A) Android	B) iOS	C) Windows	D) macOS	A	Android does not allow third-party applications to hold the CAPTURE_AUDIO_OUTPUT permission by default.
Which RAT has the ability to record device audio on iOS devices?	A) Pegasus for iOS	B) Pegasus for Android	C) Phenakite	D) Tangelo	A	Pegasus for iOS has the ability to record device audio.
Which RAT can activate a device’s microphone?	A) HilalRAT	B) Hornbill	C) Monokle	D) ViperRAT	A	HilalRAT can activate a device’s microphone.
Which RAT has captured audio and can record phone calls?	A) DoubleAgent	B) Dendroid	C) DroidJack	D) FinFisher	D	FinFisher has captured audio and can record phone calls.
Which malware can covertly record phone calls on Android 9 and above?	A) XLoader for Android	B) BusyGasper	C) Pallas	D) Android 9 and above restricts access to microphone	A	XLoader for Android can covertly record phone calls on Android 9 and above.
Which malware can record environmental and call audio on iOS devices?	A) Sunbird	B) TangleBot	C) Tiktok Pro	D) FlexiSpy	D	FlexiSpy can record both environmental and call audio on iOS devices.
Which malware can record audio using the device microphone on Android devices?	A) AhRat	B) AbstractEmu	C) Anubis	D) AndroRAT	D	AndroRAT can record audio using the device microphone on Android devices.
Which of the following encryption methods is used by XMLSpy, Golden Cup, and Desert Scorpion to encrypt exfiltrated data?	A) RC4	B) Base64	C) ZIP	D) XOR	A	XMLSpy, Golden Cup, and Desert Scorpion use RC4 for encrypting exfiltrated data.
Which of the following techniques is NOT a method for obfuscating data prior to exfiltration?	A) Compression	B) Encryption	C) ZIP	D) AES in CBC mode	C	ZIP is a compression format used for storing and transferring files, not a method for obfuscating data.
Triada encrypts data prior to exfiltration using which of the following encryption methods?	A) RC4	B) Base64	C) XOR	D) AES in CBC mode	A	Triada uses RC4 encryption for data before exfiltration.
Which of the following adversaries uses the Base64-encoded RC4 encryption method for encrypted C2 communications?	A) Asacub	B) BOULDSPY	C) BRATA	D) Cobalt Strike	A	Asacub uses Base64-encoded RC4 for encrypted command and control communications.
During C0033, PROMETHIUM used which of the following tools to exfiltrate encrypted data to the C2 server?	A) StrongPity	B) Base64	C) AES in ECB mode	D) ZIP	A	PROMETHIUM used StrongPity to exfiltrate encrypted data during C0033.
BOULDSPY can encrypt its data before exfiltration using which of the following encryption methods?	A) RC4	B) zlib	C) XOR	D) AES in CBC mode	A	BOULDSPY uses RC4 to encrypt its data before exfiltration.
BRATA has compressed data with which of the following libraries before exfiltration?	A) RC4	B) ZIP	C) zlib	D) AES in CBC mode	C	BRATA uses the zlib library to compress data before exfiltration.
Exodus One encrypts data using which of the following encryption methods prior to exfiltration?	A) RC4	B) Base64	C) XOR	D) AES in CBC mode	D	Exodus One uses XOR encryption for data prior to exfiltration.
FrozenCell has compressed and encrypted data before exfiltration using which of the following formats?	A) RC4	B) Base64	C) .7z archive	D) AES in CBC mode	C	FrozenCell uses password-protected .7z archives to compress and encrypt data before exfiltration.
Sunbird can exfiltrate collected data as which of the following formats?	A) RC4	B) Base64	C) ZIP	D) AES in CBC mode	C	Sunbird exfiltrates collected data as ZIP files.
Which of the following techniques is NOT a method for making data less conspicuous upon inspection by a defender?	A) Compression	B) Encryption	C) ZIP	D) Base64	C	ZIP is a compression format and not a method for making data less conspicuous upon inspection.
GolfSpy encrypts data using which of the following encryption methods prior to exfiltration?	A) RC4	B) Base64	C) XOR	D) AES in CBC mode	C	GolfSpy uses XOR encryption for data before exfiltration.
Adversaries may use which of the following methods to minimize use of network resources during data exfiltration?	A) Compression	B) Encryption	C) XOR	D) ZIP	A	Compression helps to reduce the amount of data and minimize network resource usage during exfiltration.
Which of the following techniques is NOT a method for obfuscating data prior to exfiltration?	A) Base64	B) RC4	C) XML	D) ZIP	C	XML is a markup language used for data representation and not for obfuscation prior to exfiltration.
During which of the following stages of the MITRE ATT&CK framework is data exfiltration typically performed?	A) Initial Access	B) Execution	C) Exfiltration	D) Command and Control	C	Data exfiltration typically occurs during the Exfiltration stage of the MITRE ATT&CK framework.
Which mobile messaging service is NOT commonly abused for command and control by APTs?	GCM	FCM	APNS	XMPP	C	APNS (Apple Push Notification Service) is a one-way server-to-device notification service that is not commonly abused for command and control by APTs.
Which malware uses unencrypted HTTP traffic between the victim and C2 infrastructure?	AbstractEmu	AhRat	BOULDSPY	Concipit1248	C	BOULDSPY uses unencrypted HTTP traffic between the victim and C2 infrastructure.
Which malware uses MQTT and HTTP for communication with the C2 server?	Golden Cup	GoldenEagle	GPlayed	Gustuff	B	Golden Cup has communicated with the C2 using MQTT and HTTP.
Which malware can communicate with the C2 server using JSON payloads sent in HTTP POST request bodies?	Rotexy	RuMMS	S.O.V.A.	SharkBot	A	Rotexy can communicate with the command and control server using JSON payloads sent in HTTP POST request bodies.
Which malware uses Firebase Cloud Messaging for command and control?	DEFENSOR ID	Exobot	Exodus One	ViceLeaker	A	DEFENSOR ID has used Firebase Cloud Messaging for C2.
Which malware communicates with the C2 server using HTTPS POST requests?	Asacub	CHEMISTGAMES	EventBot	Trojan-SMS.AndroidOS.Agent.ao	A	Asacub has communicated with the C2 using HTTPS POST requests.
Which malware uses Google Cloud Messaging (GCM) for command and control?	Trojan-SMS.AndroidOS.FakeInst.a	Trojan-SMS.AndroidOS.OpFake.a	Trojan-SMS.AndroidOS.Agent.ao	TrickMo	A	Trojan-SMS.AndroidOS.Agent.ao, Trojan-SMS.AndroidOS.FakeInst.a, and Trojan-SMS.AndroidOS.OpFake.a all use Google Cloud Messaging (GCM) for command and control.
Which malware communicates with the C2 server using HTTP requests?	Bread	Chameleon	Dark Caracal	FakeSpy	A	Bread, Chameleon, and FakeSpy communicate with the C2 server using HTTP requests.
Which malware uses WebSockets as a backup for communication with the C2 server?	GPlayed	Gustuff	Hornbill	Skygofree	A	GPlayed has communicated with the C2 using HTTP requests or WebSockets as a backup.
Which malware can communicate by using JSON messages sent through Google Cloud Messaging?	Rotexy	RuMMS	S.O.V.A.	Skygofree	D	Skygofree can be controlled via HTTP, XMPP, Firebase Cloud Messaging, or Google Cloud Messaging in older versions.
Which malware communicates with the C2 server using HTTPS requests?	INSOMNIA	Red Alert 2.0	RedDrop	Riltok	A	INSOMNIA communicates with the C2 server using HTTPS requests.
Which malware uses JSON objects over unencrypted HTTP requests for communication with the C2?	TrickMo	Trojan-SMS.AndroidOS.Agent.ao	Trojan-SMS.AndroidOS.FakeInst.a	Trojan-SMS.AndroidOS.OpFake.a	A	TrickMo communicates with the C2 by sending JSON objects over unencrypted HTTP requests.
Which malware uses HTTP requests for command and control?	Corona Updates	Dark Caracal	FakeSpy	FlyTrap	A	Corona Updates communicates with the C2 server using HTTP requests.
Which malware communicates with the command and control server using JSON payloads sent in HTTP POST request bodies and can also communicate by using JSON messages sent through Google Cloud Messaging?	Rotexy	RuMMS	S.O.V.A.	Skygofree	A	Rotexy can communicate with the command and control server using JSON payloads sent in HTTP POST request bodies and JSON messages sent through Google Cloud Messaging.
Which malware uses HTTP POST requests for C2 communication?	Exodus One	GoldenEagle	GPlayed	Riltok	A	Exodus One, GoldenEagle, and Riltok use HTTP POST requests for command and control communication.
