Question,Option A,Option B,Option C,Option D,Model Answer,Correct Answer,Is Correct,Model Response
Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?,It can access all resources in a domain,It is used to request service tickets for other resources,It allows access to a specific resource,It involves the use of NTLM password hash,B,C,False,"THE CORRECT ANSWER IS: B.

A SILVER TICKET IS A TYPE OF SECURITY EXPLOIT THAT ALLOWS AN ATTACKER TO IMPERSONATE A USER IN ACTIVE DIRECTORY. THIS CAN BE DONE BY CREATING A FORGED SERVICE TICKET (ST) THAT CONTAINS THE ATTACKER'S NTLM PASSWORD HASH. THE ST IS THEN USED TO REQUEST ACCESS TO OTHER RESOURCES IN THE DOMAIN.

THE MITRE ATT&CK FRAMEWORK IS A TAXONOMY OF COMMON CYBER ATTACK TECHNIQUES. THE T1550.003 TECHNIQUE IS SPECIFICALLY RELATED TO THE USE OF SILVER TICKETS.

THE OTHER OPTIONS ARE INCORRECT BECAUSE:

* OPTION A IS TOO BROAD. A SILVER TICKET CAN ONLY BE USED TO ACCESS RESOURCES THAT THE IMPERSONATED USER HAS ACCESS TO.
* OPTION C IS INCORRECT BECAUSE A SILVER TICKET DOES NOT ALLOW ACCESS TO A SPECIFIC RESOURCE. IT ALLOWS ACCESS TO ALL RESOURCES THAT THE IMPERSONATED USER HAS ACCESS TO.
* OPTION D IS INCORRECT BECAUSE A SILVER TICKET DOES NOT INVOLVE THE USE OF NTLM PASSWORD HASHES. IT INVOLVES THE USE OF A FORGED ST THAT CONTAINS THE ATTACKER'S NTLM PASSWORD HASH."
"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?",EVENT::DCSync,DCOM::DUMP,LSADUMP::DCSync,PTT::EXTRACT,C,C,True,"THE CORRECT ANSWER IS: **C) LSADUMP::DCSYNC**

ACCORDING TO MITRE ATT&CK T1550.003, MIMIKATZ USES THE LSADUMP::DCSYNC METHOD TO EXTRACT THE KRBTGT ACCOUNT HASH. THIS METHOD INVOLVES USING THE DCSYNC SERVICE TO REPLICATE THE LSA SECRETS DATABASE FROM A DOMAIN CONTROLLER TO A LOCAL MACHINE. THE LSA SECRETS DATABASE CONTAINS THE KRBTGT ACCOUNT HASH, WHICH CAN BE USED TO IMPERSONATE DOMAIN ADMINISTRATORS.

THE OTHER OPTIONS ARE INCORRECT. EVENT::DCSYNC IS A METHOD THAT CAN BE USED TO EXTRACT ACTIVE DIRECTORY EVENTS FROM A DOMAIN CONTROLLER. DCOM::DUMP IS A METHOD THAT CAN BE USED TO DUMP THE MEMORY OF A REMOTE PROCESS. PTT::EXTRACT IS A METHOD THAT CAN BE USED TO EXTRACT DATA FROM A PHYSICAL MEMORY DUMP."
Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?,M1027: Password Policies,M1026: Privileged Account Management,M1018: User Account Management,M1015: Active Directory Configuration,B,D,False,"THE CORRECT ANSWER IS: **B) M1026: PRIVILEGED ACCOUNT MANAGEMENT**

PRIVILEGED ACCOUNT MANAGEMENT (PAM) IS A SECURITY PRACTICE THAT HELPS ORGANIZATIONS MANAGE AND PROTECT THEIR PRIVILEGED ACCOUNTS. PRIVILEGED ACCOUNTS ARE ACCOUNTS THAT HAVE ELEVATED PERMISSIONS AND CAN BE USED TO PERFORM SENSITIVE TASKS. PAM CAN HELP ORGANIZATIONS TO:

* IDENTIFY AND CLASSIFY PRIVILEGED ACCOUNTS
* IMPLEMENT STRONG PASSWORD POLICIES FOR PRIVILEGED ACCOUNTS
* MONITOR AND AUDIT PRIVILEGED ACCOUNT ACTIVITY
* RESTRICT ACCESS TO PRIVILEGED ACCOUNTS
* ROTATE PRIVILEGED ACCOUNT CREDENTIALS

RESETTING THE KRBTGT ACCOUNT PASSWORD TWICE TO INVALIDATE EXISTING GOLDEN TICKETS IS A PAM BEST PRACTICE. THIS HELPS TO ENSURE THAT EVEN IF AN ATTACKER IS ABLE TO OBTAIN THE KRBTGT ACCOUNT PASSWORD, THEY WILL NOT BE ABLE TO USE IT TO CREATE GOLDEN TICKETS THAT WILL BE VALID FOR AN EXTENDED PERIOD OF TIME.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT MITIGATING THE RISK OF GOLDEN TICKET ATTACKS. PASSWORD POLICIES CAN HELP TO PROTECT PRIVILEGED ACCOUNTS, BUT THEY ARE NOT AS EFFECTIVE AS PAM AT PREVENTING THE CREATION OF GOLDEN TICKETS. USER ACCOUNT MANAGEMENT CAN HELP TO PROTECT USER ACCOUNTS, BUT IT IS NOT AS EFFECTIVE AS PAM AT PROTECTING PRIVILEGED ACCOUNTS. ACTIVE DIRECTORY CONFIGURATION CAN HELP TO SECURE ACTIVE DIRECTORY, BUT IT IS NOT AS EFFECTIVE AS PAM AT PREVENTING THE CREATION OF GOLDEN TICKETS."
How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?,By creating forged tickets for administrative access,By breaching SharePoint access,By capturing TGT via OS Credential Dumping,By performing overpassing the hash,C,C,True,"THE CORRECT ANSWER IS: **C**

APT32 IS A THREAT ACTOR THAT HAS BEEN KNOWN TO USE PASS THE TICKET AS PER MITRE ATT&CK T1550.003 BY CAPTURING TGT VIA OS CREDENTIAL DUMPING. THIS MEANS THAT THEY STEAL THE TGT (TICKET GRANTING TICKET) FROM A USER'S COMPUTER, WHICH IS THEN USED TO IMPERSONATE THAT USER AND GAIN ACCESS TO RESOURCES THAT THE USER IS AUTHORIZED TO ACCESS.

THE OTHER OPTIONS ARE INCORRECT. OPTION A IS INCORRECT BECAUSE IT DESCRIBES A DIFFERENT TECHNIQUE, KNOWN AS PASS THE HASH. OPTION B IS INCORRECT BECAUSE IT DESCRIBES A DIFFERENT TYPE OF ATTACK, KNOWN AS SHAREPOINT EXPLOITATION. OPTION D IS INCORRECT BECAUSE IT DESCRIBES A DIFFERENT TECHNIQUE, KNOWN AS OVERPASS THE HASH."
"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?",Event ID 4657,Event ID 4769,Event ID 2017,Event ID 4776,B,B,True,"THE CORRECT ANSWER IS: **B) EVENT ID 4769**

ACCORDING TO MITRE ATT&CK T1550.003, AN INVALIDATED GOLDEN TICKET IS A SECURITY EVENT THAT OCCURS WHEN A USER ATTEMPTS TO USE A GOLDEN TICKET THAT HAS BEEN REVOKED. EVENT ID 4769 IS GENERATED WHEN A USER LOGS ON TO A DOMAIN CONTROLLER USING A GOLDEN TICKET. THIS EVENT CAN BE USED TO DETECT THE MISUSE OF AN INVALIDATED GOLDEN TICKET.

HERE IS A BRIEF EXPLANATION OF EACH OF THE OPTIONS:

* OPTION A: EVENT ID 4657 IS GENERATED WHEN A USER LOGS ON TO A DOMAIN CONTROLLER USING A NON-DEFAULT DOMAIN ACCOUNT. THIS EVENT IS NOT SPECIFIC TO GOLDEN TICKETS AND CANNOT BE USED TO DETECT THE MISUSE OF AN INVALIDATED GOLDEN TICKET.
* OPTION B: EVENT ID 4769 IS GENERATED WHEN A USER LOGS ON TO A DOMAIN CONTROLLER USING A GOLDEN TICKET. THIS EVENT CAN BE USED TO DETECT THE MISUSE OF AN INVALIDATED GOLDEN TICKET.
* OPTION C: EVENT ID 2017 IS GENERATED WHEN A USER LOGS ON TO A DOMAIN CONTROLLER USING A SMART CARD. THIS EVENT IS NOT SPECIFIC TO GOLDEN TICKETS AND CANNOT BE USED TO DETECT THE MISUSE OF AN INVALIDATED GOLDEN TICKET.
* OPTION D: EVENT ID 4776 IS GENERATED WHEN A USER LOGS ON TO A DOMAIN CONTROLLER USING A PASSWORD. THIS EVENT IS NOT SPECIFIC TO GOLDEN TICKETS AND CANNOT BE USED TO DETECT THE MISUSE OF AN INVALIDATED GOLDEN TICKET."
"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?",Implementing multi-factor authentication (MFA),Regularly updating user credentials,Monitoring application logs for unusual activities,Configuring browsers to regularly delete persistent cookies,D,D,True,"THE CORRECT ANSWER IS: **D**

SESSION COOKIES ARE USED TO STORE INFORMATION ABOUT A USER'S SESSION ON A WEBSITE, SUCH AS THEIR LOGIN STATUS, THE PAGES THEY HAVE VISITED, AND THE ITEMS THEY HAVE ADDED TO THEIR SHOPPING CART. SESSION COOKIES ARE TYPICALLY DELETED WHEN THE USER CLOSES THEIR BROWSER. HOWEVER, PERSISTENT COOKIES CAN REMAIN ON THE USER'S COMPUTER FOR A LONGER PERIOD OF TIME, EVEN AFTER THE USER HAS CLOSED THEIR BROWSER. THIS CAN ALLOW ATTACKERS TO STEAL SESSION COOKIES AND USE THEM TO IMPERSONATE THE USER ON THE WEBSITE.

ONE WAY TO MITIGATE THE RISK OF SESSION COOKIE MISUSE IS TO CONFIGURE BROWSERS TO REGULARLY DELETE PERSISTENT COOKIES. THIS WILL HELP TO ENSURE THAT SESSION COOKIES ARE NOT STORED ON THE USER'S COMPUTER FOR A LONG PERIOD OF TIME, AND THAT THEY ARE DELETED IF THE USER'S BROWSER IS COMPROMISED.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT MITIGATING THE RISK OF SESSION COOKIE MISUSE. IMPLEMENTING MULTI-FACTOR AUTHENTICATION (MFA) CAN HELP TO PROTECT AGAINST UNAUTHORIZED ACCESS TO ACCOUNTS, BUT IT WILL NOT PREVENT ATTACKERS FROM STEALING SESSION COOKIES. REGULARLY UPDATING USER CREDENTIALS CAN HELP TO PROTECT AGAINST ACCOUNT TAKEOVER ATTACKS, BUT IT WILL NOT PREVENT ATTACKERS FROM USING STOLEN SESSION COOKIES TO ACCESS ACCOUNTS. MONITORING APPLICATION LOGS FOR UNUSUAL ACTIVITIES CAN HELP TO DETECT ATTACKS THAT ARE ALREADY UNDERWAY, BUT IT WILL NOT PREVENT ATTACKERS FROM STEALING SESSION COOKIES IN THE FIRST PLACE.

THEREFORE, THE BEST OPTION TO MITIGATE THE RISK OF SESSION COOKIE MISUSE IS TO CONFIGURE BROWSERS TO REGULARLY DELETE PERSISTENT COOKIES."
"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?",APT28,APT29,APT33,APT41,C,B,False,"THE ANSWER IS: C) APT33.

APT33 IS A CYBER ESPIONAGE GROUP THAT IS BELIEVED TO BE SPONSORED BY THE IRANIAN GOVERNMENT. THE GROUP HAS BEEN ACTIVE SINCE AT LEAST 2013 AND HAS TARGETED A VARIETY OF ORGANIZATIONS, INCLUDING GOVERNMENT AGENCIES, DEFENSE CONTRACTORS, AND ENERGY COMPANIES. APT33 IS KNOWN FOR USING A VARIETY OF SOPHISTICATED TECHNIQUES, INCLUDING SPEAR-PHISHING, WATERING HOLE ATTACKS, AND EXPLOITING VULNERABILITIES IN SOFTWARE. THE GROUP HAS ALSO BEEN KNOWN TO USE STOLEN COOKIES TO BYPASS MULTI-FACTOR AUTHENTICATION FOR CLOUD RESOURCES.

APT28, APT29, AND APT41 ARE ALL OTHER CYBER ESPIONAGE GROUPS THAT HAVE BEEN ACTIVE IN RECENT YEARS. HOWEVER, THERE IS NO EVIDENCE THAT ANY OF THESE GROUPS WERE INVOLVED IN THE SOLARWINDS COMPROMISE."
Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),APT3,APT32,APT33,APT28,C,B,False,"THE CORRECT ANSWER IS: **C**

APT33 IS A THREAT ACTOR GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2014. THE GROUP IS BELIEVED TO BE SPONSORED BY THE IRANIAN GOVERNMENT AND IS KNOWN FOR ITS USE OF SPEARPHISHING EMAILS TO LURE TARGETS INTO DOWNLOADING MALICIOUS FILES. APT33 HAS BEEN LINKED TO A NUMBER OF HIGH-PROFILE ATTACKS, INCLUDING THE TARGETING OF THE SAUDI ARAMCO OIL COMPANY IN 2017.

THE OTHER OPTIONS ARE INCORRECT. APT3 IS A THREAT ACTOR GROUP THAT IS BELIEVED TO BE SPONSORED BY THE CHINESE GOVERNMENT. APT32 IS A THREAT ACTOR GROUP THAT IS BELIEVED TO BE SPONSORED BY THE VIETNAMESE GOVERNMENT. APT28 IS A THREAT ACTOR GROUP THAT IS BELIEVED TO BE SPONSORED BY THE RUSSIAN GOVERNMENT.

PLEASE LET ME KNOW IF YOU HAVE ANY OTHER QUESTIONS."
Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Network Intrusion Prevention,Restrict Web-Based Content,User Training,Email Sandboxing,A,B,False,"THE CORRECT ANSWER IS: **A**

NETWORK INTRUSION PREVENTION (NIP) IS A SECURITY SOLUTION THAT MONITORS AND BLOCKS NETWORK TRAFFIC BASED ON A SET OF RULES. NIP CAN BE USED TO BLOCK UNKNOWN OR UNUSED FILES IN TRANSIT BY DEFAULT WHEN A LINK IS BEING VISITED. THIS CAN HELP TO PREVENT USERS FROM BEING INFECTED WITH MALWARE BY CLICKING ON MALICIOUS LINKS.

RESTRICT WEB-BASED CONTENT (RWBC) IS A SECURITY SOLUTION THAT RESTRICTS ACCESS TO CERTAIN WEBSITES OR WEB PAGES. RWBC CAN BE USED TO PREVENT USERS FROM VISITING WEBSITES THAT ARE KNOWN TO CONTAIN MALWARE. HOWEVER, RWBC CANNOT BLOCK UNKNOWN OR UNUSED FILES IN TRANSIT BY DEFAULT.

USER TRAINING (UT) IS A SECURITY SOLUTION THAT EDUCATES USERS ABOUT THE RISKS OF MALWARE AND HOW TO PROTECT THEMSELVES FROM INFECTION. UT CAN HELP TO REDUCE THE NUMBER OF USERS WHO CLICK ON MALICIOUS LINKS. HOWEVER, UT CANNOT BLOCK UNKNOWN OR UNUSED FILES IN TRANSIT BY DEFAULT.

EMAIL SANDBOXING (ES) IS A SECURITY SOLUTION THAT ISOLATES EMAILS FROM THE REST OF THE NETWORK UNTIL THEY HAVE BEEN SCANNED FOR MALWARE. ES CAN HELP TO PREVENT MALWARE FROM BEING DELIVERED TO USERS' COMPUTERS. HOWEVER, ES CANNOT BLOCK UNKNOWN OR UNUSED FILES IN TRANSIT BY DEFAULT."
What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),File Creation,Network Connection Creation,Network Traffic Content,Endpoint Detection and Response (EDR),B,B,True,"THE CORRECT ANSWER IS: **B) NETWORK CONNECTION CREATION**

NETWORK CONNECTION CREATION IS A DETECTION METHOD THAT INVOLVES MONITORING NEWLY CONSTRUCTED WEB-BASED NETWORK CONNECTIONS SENT TO MALICIOUS OR SUSPICIOUS DESTINATIONS. THIS METHOD CAN BE USED TO DETECT MALICIOUS ACTIVITY SUCH AS PHISHING ATTACKS, WHERE A USER IS TRICKED INTO CLICKING ON A MALICIOUS LINK THAT TAKES THEM TO A WEBSITE THAT DOWNLOADS MALWARE ONTO THEIR COMPUTER.

FILE CREATION IS A DETECTION METHOD THAT INVOLVES MONITORING FOR THE CREATION OF NEW FILES ON A SYSTEM. THIS METHOD CAN BE USED TO DETECT MALICIOUS ACTIVITY SUCH AS MALWARE INFECTIONS, WHERE A MALWARE PROGRAM CREATES A NEW FILE ON THE SYSTEM IN ORDER TO STORE ITS DATA OR TO EXECUTE ITS MALICIOUS CODE.

NETWORK TRAFFIC CONTENT IS A DETECTION METHOD THAT INVOLVES MONITORING THE CONTENT OF NETWORK TRAFFIC. THIS METHOD CAN BE USED TO DETECT MALICIOUS ACTIVITY SUCH AS DATA EXFILTRATION, WHERE A MALICIOUS PROGRAM ATTEMPTS TO SEND SENSITIVE DATA OFF OF THE SYSTEM.

ENDPOINT DETECTION AND RESPONSE (EDR) IS A SECURITY SOLUTION THAT CAN BE USED TO DETECT AND RESPOND TO MALICIOUS ACTIVITY ON A SYSTEM. EDR SOLUTIONS TYPICALLY USE A VARIETY OF DETECTION METHODS, INCLUDING NETWORK CONNECTION CREATION, FILE CREATION, AND NETWORK TRAFFIC CONTENT.

THEREFORE, THE CORRECT ANSWER IS: **B) NETWORK CONNECTION CREATION**"
Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),BlackTech,Bazar,Emotet,Bumblebee,C,D,False,"THE CORRECT ANSWER IS: **C) EMOTET**

EMOTET IS A SOPHISTICATED, MODULAR, AND SELF-PROPAGATING EMAIL-BORNE MALWARE THAT CAN STEAL SENSITIVE INFORMATION, SUCH AS PASSWORDS, CREDIT CARD NUMBERS, AND BANK ACCOUNT INFORMATION. IT IS KNOWN TO USE ONEDRIVE LINKS TO DELIVER MALICIOUS FILES TO VICTIMS.

BLACKTECH IS A CYBERCRIME GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2019. THEY ARE KNOWN FOR USING A VARIETY OF TECHNIQUES TO STEAL SENSITIVE INFORMATION FROM VICTIMS, INCLUDING PHISHING ATTACKS, CREDENTIAL STUFFING, AND WATERING HOLE ATTACKS.

BAZAR IS A MODULAR BANKING TROJAN THAT HAS BEEN ACTIVE SINCE AT LEAST 2018. IT IS KNOWN TO STEAL SENSITIVE INFORMATION FROM VICTIMS, SUCH AS PASSWORDS, CREDIT CARD NUMBERS, AND BANK ACCOUNT INFORMATION.

BUMBLEBEE IS A NEW MALWARE FAMILY THAT WAS FIRST DISCOVERED IN 2022. IT IS A MODULAR BANKING TROJAN THAT IS SIMILAR TO BAZAR. IT IS KNOWN TO STEAL SENSITIVE INFORMATION FROM VICTIMS, SUCH AS PASSWORDS, CREDIT CARD NUMBERS, AND BANK ACCOUNT INFORMATION."
What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),".pdf, .doc, .xls",".scr, .exe, .pif, .cpl",".lnk, .bat, .cmd",".zip, .rar",B,B,True,"THE CORRECT ANSWER IS: **B)** .SCR, .EXE, .PIF, .CPL.

THESE FILE TYPES ARE EXECUTABLE FILES THAT CAN BE USED TO RUN MALICIOUS CODE. THEY ARE OFTEN USED IN PHISHING ATTACKS, WHERE THE ATTACKER SENDS AN EMAIL WITH A MALICIOUS LINK THAT, WHEN CLICKED, DOWNLOADS AND EXECUTES THE FILE ON THE VICTIM'S COMPUTER.

THE OTHER FILE TYPES LISTED ARE NOT EXECUTABLE FILES AND ARE THEREFORE LESS LIKELY TO BE USED IN MALICIOUS ATTACKS."
Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Bazar,APT3,Leviathan,PLEAD,C,A,False,"THE CORRECT ANSWER IS: **C**.

LEVIATHAN IS A THREAT ACTOR THAT HAS BEEN ACTIVE SINCE AT LEAST 2016. THEY ARE KNOWN FOR USING A VARIETY OF TECHNIQUES TO TARGET ORGANIZATIONS, INCLUDING SPEAR PHISHING, WATERING HOLE ATTACKS, AND EXPLOITING VULNERABILITIES IN SOFTWARE. IN ONE OF THEIR CAMPAIGNS, LEVIATHAN EMPLOYED URLS HOSTED ON GOOGLE DOCS TO HOST DECOYS THAT LEAD TO EXECUTION. THIS TECHNIQUE IS KNOWN AS ""DRIVE-BY DOWNLOAD"" AND IS A COMMON WAY FOR THREAT ACTORS TO DELIVER MALWARE TO VICTIMS.

THE OTHER OPTIONS ARE INCORRECT. BAZAR IS A THREAT ACTOR THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO TARGET ORGANIZATIONS, INCLUDING SPEAR PHISHING, WATERING HOLE ATTACKS, AND EXPLOITING VULNERABILITIES IN SOFTWARE. HOWEVER, THEY HAVE NOT BEEN KNOWN TO USE URLS HOSTED ON GOOGLE DOCS TO HOST DECOYS THAT LEAD TO EXECUTION. APT3 IS A THREAT ACTOR THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO TARGET ORGANIZATIONS, INCLUDING SPEAR PHISHING, WATERING HOLE ATTACKS, AND EXPLOITING VULNERABILITIES IN SOFTWARE. HOWEVER, THEY HAVE NOT BEEN KNOWN TO USE URLS HOSTED ON GOOGLE DOCS TO HOST DECOYS THAT LEAD TO EXECUTION. PLEAD IS A THREAT ACTOR THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO TARGET ORGANIZATIONS, INCLUDING SPEAR PHISHING, WATERING HOLE ATTACKS, AND EXPLOITING VULNERABILITIES IN SOFTWARE. HOWEVER, THEY HAVE NOT BEEN KNOWN TO USE URLS HOSTED ON GOOGLE DOCS TO HOST DECOYS THAT LEAD TO EXECUTION."
"According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?",.doc,.iso,.pdf,.scr,B,B,True,"THE CORRECT ANSWER IS: **B) .ISO**

ACCORDING TO MITRE ATT&CK TECHNIQUE T1204.002, THE FOLLOWING FILE TYPES HAVE BEEN MENTIONED AS EXAMPLES OF FILES THAT ADVERSARIES CAN USE TO EXECUTE MALICIOUS CODE:

* .DOC
* .PDF
* .SCR

THEREFORE, THE FILE TYPE THAT HAS NOT BEEN MENTIONED IS .ISO."
Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?,Sandworm Team,admin@338,APT29,APT19,A,A,True,"THE CORRECT ANSWER IS: A) SANDWORM TEAM.

THE SANDWORM TEAM IS A CYBERWARFARE GROUP BELIEVED TO BE SPONSORED BY THE RUSSIAN GOVERNMENT. THEY ARE KNOWN FOR THEIR SOPHISTICATED ATTACKS ON CRITICAL INFRASTRUCTURE, INCLUDING THE 2015 UKRAINE ELECTRIC POWER ATTACK. IN THIS ATTACK, THE SANDWORM TEAM USED MALICIOUS MICROSOFT OFFICE ATTACHMENTS WITH MACROS TO INFECT UKRAINIAN POWER PLANTS WITH MALWARE. THE MALWARE CAUSED THE POWER PLANTS TO SHUT DOWN, LEAVING MILLIONS OF PEOPLE WITHOUT ELECTRICITY.

THE OTHER OPTIONS ARE INCORRECT. ADMIN@338 IS A PHISHING EMAIL ADDRESS THAT HAS BEEN USED IN SOME ATTACKS, BUT THERE IS NO EVIDENCE THAT IT IS ASSOCIATED WITH THE SANDWORM TEAM. APT29 AND APT19 ARE OTHER CYBER THREAT GROUPS, BUT THEY ARE NOT KNOWN TO HAVE BEEN INVOLVED IN THE 2015 UKRAINE ELECTRIC POWER ATTACK."
"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?",Execution Prevention,Behavior Prevention on Endpoint,User Training,Network Segmentation,A,B,False,"THE CORRECT ANSWER IS: A) EXECUTION PREVENTION.

MITRE ATT&CK T1204.002 IS A TECHNIQUE THAT DESCRIBES HOW AN ATTACKER CAN EXECUTE MALICIOUS CODE ON A TARGET SYSTEM. ONE WAY TO MITIGATE THIS TECHNIQUE IS TO USE SPECIFIC RULES ON WINDOWS 10 TO PREVENT EXECUTION OF POTENTIALLY MALICIOUS EXECUTABLES. THIS CAN BE DONE BY USING THE WINDOWS DEFENDER APPLICATION CONTROL (WDAC) FEATURE. WDAC ALLOWS ADMINISTRATORS TO CREATE AND MANAGE A SET OF RULES THAT DETERMINE WHICH APPLICATIONS ARE ALLOWED TO RUN ON A SYSTEM. THESE RULES CAN BE BASED ON THE APPLICATION'S PUBLISHER, FILE HASH, OR OTHER ATTRIBUTES. BY USING WDAC, ADMINISTRATORS CAN PREVENT THE EXECUTION OF POTENTIALLY MALICIOUS EXECUTABLES, EVEN IF THEY ARE DISGUISED AS LEGITIMATE APPLICATIONS.

OPTIONS B, C, AND D ARE NOT MITIGATION STRATEGIES THAT ARE SPECIFICALLY RELATED TO MITRE ATT&CK T1204.002. BEHAVIOR PREVENTION ON ENDPOINT IS A GENERAL TERM THAT CAN REFER TO A VARIETY OF DIFFERENT TECHNIQUES, INCLUDING BUT NOT LIMITED TO WDAC. USER TRAINING IS A GENERAL TERM THAT CAN REFER TO A VARIETY OF DIFFERENT ACTIVITIES, INCLUDING BUT NOT LIMITED TO EDUCATING USERS ABOUT THE RISKS OF MALICIOUS EXECUTABLES. NETWORK SEGMENTATION IS A GENERAL TERM THAT CAN REFER TO A VARIETY OF DIFFERENT TECHNIQUES, INCLUDING BUT NOT LIMITED TO ISOLATING SYSTEMS THAT ARE AT RISK OF BEING COMPROMISED."
Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?,Disco,Mustang Panda,Dridex,APT32,C,A,False,"THE CORRECT ANSWER IS: **C) DRIDEX**.

DRIDEX IS A BANKING TROJAN THAT HAS BEEN SPREAD THROUGH USERS' INTERACTION WITH MALICIOUS .ZIP AND .MSI FILES AS PER MITRE ATT&CK PATTERN T1204.002. IT IS A MODULAR TROJAN THAT CAN STEAL BANKING CREDENTIALS, CREDIT CARD INFORMATION, AND OTHER SENSITIVE DATA. DRIDEX IS OFTEN USED IN TARGETED ATTACKS AGAINST BUSINESSES AND ORGANIZATIONS.

A) DISCO IS A FILELESS MALWARE THAT CAN BE USED TO STEAL DATA FROM INFECTED SYSTEMS. IT IS SPREAD THROUGH MALICIOUS EMAIL ATTACHMENTS AND CAN ALSO BE INSTALLED THROUGH DRIVE-BY DOWNLOADS. DISCO IS NOT KNOWN TO BE SPREAD THROUGH MALICIOUS .ZIP OR .MSI FILES.

B) MUSTANG PANDA IS A CHINESE CYBER ESPIONAGE GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2014. THE GROUP IS KNOWN TO USE A VARIETY OF MALWARE, INCLUDING DRIDEX, TO TARGET GOVERNMENT AND MILITARY ORGANIZATIONS IN TAIWAN AND OTHER COUNTRIES. HOWEVER, THERE IS NO EVIDENCE THAT MUSTANG PANDA HAS USED MALICIOUS .ZIP OR .MSI FILES TO SPREAD ITS MALWARE.

D) APT32 IS A VIETNAMESE CYBER ESPIONAGE GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2013. THE GROUP IS KNOWN TO USE A VARIETY OF MALWARE, INCLUDING DRIDEX, TO TARGET GOVERNMENT AND MILITARY ORGANIZATIONS IN VIETNAM AND OTHER COUNTRIES. HOWEVER, THERE IS NO EVIDENCE THAT APT32 HAS USED MALICIOUS .ZIP OR .MSI FILES TO SPREAD ITS MALWARE."
